id,title,original_title,language,overview,genres,keywords,cast,director,release_date,runtime,popularity,vote_average,vote_count,budget,revenue,production_companies,production_countries,spoken_languages,poster_path,tagline,adult
1641001,Ochu,ഒച്ച്,ml,"A Police Officer, a Mysterious Woman, and a Movie Director are stuck inside the former's house. As they pretend to be something they are not, it's a race against time to find the mastermind behind an even more sinister criminal syndicate.",['Thriller'],[],"['Sudheer Karamana', 'Hima Shankari', 'Ajit Koshy', 'Saju Navodaya', 'Niyas Backer', 'Kottayam Manju', 'Kukku Jeevan']",Sarjulan,2023-12-01,123,0.0824,1.0,1,0,0,[],['India'],['Malayalam'],/nFFwn1KWZK26AJujulEfBr2MfBK.jpg,പുറംതോടിനുള്ളിൽ,False
1181943,Thirayattam,Thirayattam,ml,"Set in the backdrop of a traditional temple festival, the plot follows a young man who falls in love with a woman from a different community.","['Romance', 'Drama']","['interfaith marriage', 'romantic drama']","['Sreelakshmi Aravindakshan', 'Jijo Gopi', 'Nadam Murali']",Sajeev Kilikulam,2023-09-22,135,0.1082,0.0,0,0,0,['AR Mainland Productions'],['India'],['Malayalam'],/w3iGhrBjoYK74gwrfNnAWuS8i4F.jpg,The Dance of God,False
1207141,Sheltering Skies,Sheltering Skies,ml,"Exploration of the ordinary lives led by women of different classes—a college professor, an unmarried woman, and a seasoned drama artist. They unveil the societal intricacies woven into their social backgrounds, with typical evening talks besides them. Gripping tales of yore immersed in the metaphorical embrace of their surroundings, their familial shelters are emblematic of resilience and protection, where profound truths lie hidden within the depths of the commonplace.",['Documentary'],"['social documentary', 'social & cultural documentary', 'poetic documentary', 'documentary', 'poetic']","['Rajeswari Lakshmi Sadanam', 'Girija Teacher', 'Rosy', 'Ammini Koramboor', 'Padmini Madampilly', 'Parameswaran Madampilly']",Jayakrishnan M S,2023-11-24,74,0.0621,0.0,0,5,0,['h'],['India'],['Malayalam'],/zUOD1rVVmTpdmGJw8gfyziVHeZk.jpg,What else to say?,False
1114218,Seven-Forty-Seven Leapfrogs,Seven-Forty-Seven Leapfrogs,ml,Rapper Nerdyrengan decides to go to the mall with his friends but things go awry as they have other plans.,"['Comedy', 'Music']","['hip-hop', 'violent death', 'rap', 'blood']","['Sidharth Rengan', 'Aditya J. Revathi', 'Akhil Raj', 'Akshay Ravindran', 'Benjamin Zachariah', 'Diya Sara Santhosh', 'Cyril Abraham Dennis', 'Sangeeth', 'Shashank Menon', 'Shruthin Vasanth']",Cyril Abraham Dennis,2023-04-20,14,0.0528,0.0,0,61,0,[],[],"['English', 'Malayalam']",/gEa7JnsslZm3HbKjO1OrMkwkbVm.jpg,2023 COMEBACK SPECIAL,False
1222627,Return,Thirike,ml,A musical video that flashes the old college memories of a student,['Music'],[],['Badusha Mohammed Buhari'],Badusha Mohammed Buhari,2023-10-04,4,0.0453,8.0,2,8,10,['SD Pictures'],['India'],['Malayalam'],/aTVH4S8k3axIKaHR4WymPN9r6Hw.jpg,A musical video that Flashes the old college memories of a student,False
1172577,Hey Googly,Hey Googly,ml,"'Karal' a newly married bride, discovering her new surroundings and finding tricky ways to outsmart the rest. Over a course of time she discovers passion and love.","['Comedy', 'Drama', 'Family', 'Music', 'Romance']",[],"['Meenakshi Jayan', 'Anu Varghese']",Abhay Krishna U,2023-08-11,27,0.0214,7.0,4,0,0,['House of Passion'],[],['Malayalam'],/4FoUus82LJWd16p3KlbZEu2V2FK.jpg,"Short film, Feel good",False
1183317,Thottampatturayunna Malepothi,Thottampatturayunna Malepothi,ml,"Thottampatturayunna Malepothi is an Drama Malayalam movie directed by Firose. The movie's star cast includes Manoj Guiness, Saju kodiyan in the main lead roles.",[],[],[],Firose,2023-09-20,126,0.0143,0.0,0,0,0,['Single Bridge Films'],[],['Malayalam'],/gum7dSRXZuC7oT0WPyx1zJPr5t7.jpg,"Malayalam Movie ""Thottampatturayunna Malepothi""  Written & Directed by Firose.",False
1106973,Period of Confusion,ആശയകുഴപ്പത്തിന്റെ കാലഘട്ടം,ml,"In the wake of the unexpected call from his ex-girlfriend, Hemanth was confused, and he began to talk about it.",['Drama'],[],"['Gautham K Biju', 'Jay Maya', 'Bernard Joseph', 'Abhishek Karunakaran']",Ashin Jose,2023-04-08,38,0.0071,0.0,0,0,0,['Pumpkin Medium'],['India'],['Malayalam'],/xX6PPoPqjtEjZuT7d8dOWwvA6DJ.jpg,People are like Gods - Hemanth,False
914416,Oruthee,ഒരുത്തീ,ml,"Radhamani, a ticket collector in a government boat, tries to take a gold loan in exchange for her daughter’s new necklace. What awaits her is a ton of problems that he hardly foresaw.",['Drama'],[],"['Navya Nair', 'Vinayakan', 'Saiju Kurup', 'Geethi Sangeetha', 'Shiny Sarah', 'Josekutty Jacob', 'Mukundan Menon', 'Santhosh Keezhattoor', 'Malavika Menon', 'KPAC Lalitha']",V. K. Prakash,2022-03-18,135,0.2284,6.2,4,0,0,['Benzy Productions'],['India'],['Malayalam'],/a4oK8quaOGsSSGkHeWQtXHSdtpY.jpg,The Fire in You,False
855368,Paka,പക,ml,"This Romeo and Juliet–esque vengeance tale is set deep in the forests of Kerala, where the river is witness to a violent, generations-old feud.","['Mystery', 'Crime']",[],"['Nithin George', 'Jose Kizhakkan', 'Vinitha Koshy', 'Joseph Manickal', 'Bipin Basil Paulose', 'Athul John']",Nithin Lukose,2022-07-06,101,0.2562,6.5,4,0,0,[],['India'],['Malayalam'],/zmvYe43akQBO4m8pQMcf4AUaBvQ.jpg,River of Blood,False
